ID Curso,BLOQUE,CATÁLOGO,Descripción,Materia,SEM,CRÉ,Horas SEM,Carrera,OPTATIVA,ACADEMIA,LAB,FICT,Jefe de Academia,Horas totales
028443,BA,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,4,IIN1D,,MEC,A,L,#REF!,64
028443,BA,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,4,IIN2A,,MEC,A,L,#REF!,64
028443,BA,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,4,IIN2B,,MEC,A,L,#REF!,64
028443,BA,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,4,IIN2C,,MEC,A,L,#REF!,64
028443,BA,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,4,IIN2D,,MEC,A,L,#REF!,64
029524,BA,DOP120,"TEORÍA - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN A",DOPE_ING,1,2,4,IIN1A,,DOP,A,,#REF!,96
029524,BA,DOP120,"PROYECTO - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN A",DOPE_ING,1,2,4,IIN1A,,DOP,A,,#REF!,96
029524,BA,DOP120,"CMD - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN A",DOPE_ING,1,2,4,IIN1A,,DOP,A,,#REF!,96
029524,BA,DOP120,"TEORÍA - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN B",DOPE_ING,1,2,4,IIN1B,,DOP,A,,#REF!,96
029524,BA,DOP120,"PROYECTO - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN B",DOPE_ING,1,2,4,IIN1B,,DOP,A,,#REF!,96
029524,BA,DOP120,"CMD - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN B",DOPE_ING,1,2,4,IIN1B,,DOP,A,,#REF!,96
029524,BA,DOP120,"TEORÍA - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN C",DOPE_ING,1,2,4,IIN1C,,DOP,A,,#REF!,96
029524,BA,DOP120,"PROYECTO - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN C",DOPE_ING,1,2,4,IIN1C,,DOP,A,,#REF!,96
029524,BA,DOP120,"CMD - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN C",DOPE_ING,1,2,4,IIN1C,,DOP,A,,#REF!,96
029524,BA,DOP120,"TEORÍA - INTRODUCCIÓN A LA INGENIERÍA: NEGOCIOS, CREATIVIDAD E INNOVACIÓN D",DOPE_ING,1,2,4,IIN1D,,DOP,A,,#REF!,96
